mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,label
-138.51641845703125,93.05659484863281,10.250276565551758,21.293432235717773,3.8761885166168213,17.242473602294922,-6.081121444702148,21.071489334106445,-3.3058712482452393,13.597257614135742,2.0214085578918457,12.862075805664062,-1.8212918043136597,3.8793392181396484,-1.100669264793396,0.7922937273979187,-3.578050136566162,4.870371341705322,1.2020277976989746,7.924884796142578,2.25262451171875,4.963720321655273,0.8215534687042236,-0.6487165689468384,-3.5621583461761475,-0.9685224294662476,-6.108684539794922,0.663228452205658,-6.396639347076416,-1.8707489967346191,-6.761016845703125,-2.682241916656494,-7.6419148445129395,-4.016359806060791,-8.98330020904541,-5.913370132446289,-5.303678035736084,-1.5810401439666748,-3.4965577125549316,0.056370582431554794,0
-375.9581604003906,27.324378967285156,-11.870631217956543,0.8245941996574402,-15.938231468200684,-1.2904534339904785,-10.912911415100098,-4.812694072723389,-15.09032154083252,-6.901820182800293,-9.520801544189453,-8.408012390136719,-5.576516628265381,-11.606639862060547,-4.684441089630127,-8.800026893615723,-11.43073844909668,-2.1430106163024902,-7.6951375007629395,-5.252784252166748,-3.1559083461761475,-0.5509570240974426,-0.31382742524147034,2.753995656967163,-0.16871380805969238,2.8654348850250244,1.1820068359375,4.225818634033203,3.590847969055176,2.2379977703094482,-0.2568306028842926,0.7818772792816162,-0.29154226183891296,0.14171260595321655,-2.480930805206299,0.2507123053073883,0.11759437620639801,0.12881231307983398,-1.9022488594055176,-2.3444597721099854,0
-339.2055969238281,36.32758331298828,-10.617997169494629,8.732193946838379,-23.424720764160156,-8.747095108032227,-17.842973709106445,-4.688818454742432,-21.380258560180664,-7.521646499633789,-10.71312427520752,-13.838969230651855,-3.899005889892578,-16.587121963500977,-4.695417881011963,-8.285337448120117,-15.22939682006836,-3.046590566635132,-10.70902156829834,-4.446312427520752,-7.912657260894775,-1.0784765481948853,-1.8490432500839233,-0.6289604306221008,-2.802689552307129,1.3279768228530884,3.2893340587615967,5.917051792144775,9.287416458129883,6.456322193145752,1.5974690914154053,0.27950775623321533,-3.618868827819824,0.8647364974021912,-1.5151817798614502,0.4845125079154968,-3.6723783016204834,-0.489228218793869,-2.462161064147949,-1.2628213167190552,0
-390.6396789550781,30.136110305786133,-25.094528198242188,-3.170032501220703,-14.203910827636719,-3.4834847450256348,-6.8305745124816895,-5.039427280426025,-11.198243141174316,-5.905358791351318,-7.562183380126953,-7.704118728637695,-4.775237560272217,-9.66332721710205,-5.3414177894592285,-7.67893648147583,-9.474122047424316,-2.6932613849639893,-6.998695373535156,-3.850050210952759,-3.885016441345215,-3.352337598800659,-1.7534511089324951,2.7075541019439697,3.629672050476074,5.264092445373535,1.3353912830352783,2.216647148132324,1.0707036256790161,1.856959581375122,1.675391674041748,2.4145920276641846,-1.9203189611434937,-0.09463980048894882,-2.0453171730041504,0.2158450335264206,0.5222437977790833,-0.46700575947761536,-2.778170108795166,-0.016886435449123383,0
-359.3720703125,29.570615768432617,-6.944572448730469,6.487911701202393,-19.383729934692383,-0.07887408882379532,-15.996476173400879,-3.767824649810791,-17.092266082763672,-10.399930000305176,-7.7909770011901855,-11.804628372192383,-6.284946918487549,-14.397509574890137,-4.735840797424316,-9.192496299743652,-13.275067329406738,-4.366876125335693,-8.070980072021484,-4.416201114654541,-2.4316654205322266,-0.3302774429321289,0.8250921964645386,5.011407375335693,2.0447535514831543,7.797858238220215,3.230057716369629,3.7853264808654785,-0.7383368015289307,-3.007187843322754,0.6525545120239258,1.7278324365615845,1.3891546726226807,0.9362770915031433,-3.214639186859131,-1.1007994413375854,-1.060861349105835,-0.8483939170837402,-3.6039164066314697,-1.3347035646438599,0
-355.32647705078125,23.795217514038086,-9.839446067810059,4.335834503173828,-15.974908828735352,0.4677247703075409,-14.925399780273438,-2.0711774826049805,-12.278263092041016,-9.591155052185059,-6.441011428833008,-8.036121368408203,-3.194425582885742,-10.957751274108887,-3.105555534362793,-5.976370811462402,-10.353971481323242,-2.9764328002929688,-7.090287685394287,-3.821047782897949,-1.9214897155761719,-0.7904883623123169,-2.625141143798828,-0.647861897945404,-3.4336321353912354,3.4714832305908203,4.756191730499268,6.923231601715088,4.182657718658447,1.0572799444198608,0.33305564522743225,-0.724524736404419,-2.2060253620147705,-0.7558308243751526,-1.4152342081069946,1.2391315698623657,-1.1710658073425293,-1.9735515117645264,-2.415971517562866,1.43399178981781,0
-338.3078308105469,24.007436752319336,-34.852752685546875,15.74245548248291,-25.439151763916016,-5.422793865203857,-17.42840003967285,-6.030072212219238,-10.590900421142578,-9.802645683288574,-6.272989273071289,-11.771308898925781,-0.7613019943237305,-10.818309783935547,-0.4031490385532379,-5.122299671173096,-6.312532424926758,0.290493905544281,-11.169631004333496,-2.8531312942504883,-4.364363193511963,-1.1841504573822021,-4.516625881195068,-2.5153956413269043,-3.324657678604126,1.5313920974731445,3.8794145584106445,5.660272121429443,3.3332602977752686,1.3887735605239868,-1.0028178691864014,0.6547703742980957,-0.7841852903366089,2.0038254261016846,-1.3831642866134644,-1.130986213684082,-3.146028995513916,-0.3871569335460663,-1.878101110458374,-0.7119369506835938,0
-419.08538818359375,33.4087028503418,-7.735574722290039,2.9908668994903564,-6.237192630767822,3.020632266998291,-12.575237274169922,-7.467525005340576,-12.998539924621582,-9.871580123901367,-12.160099029541016,-6.3262553215026855,-4.974444389343262,-12.835517883300781,-3.774972915649414,-8.930272102355957,-10.676817893981934,-1.7011830806732178,-11.964714050292969,-2.5713443756103516,-8.170236587524414,-3.9990315437316895,-5.658618450164795,1.3568094968795776,0.4029763638973236,6.014452934265137,2.832904100418091,2.688084602355957,-0.8974207043647766,0.6862606406211853,1.2416181564331055,2.961393117904663,2.6652181148529053,1.3518900871276855,-2.1704463958740234,1.1692472696304321,-0.5883412957191467,-1.4590778350830078,-3.2784812450408936,-1.1573662757873535,0
-368.548828125,17.286901473999023,-9.653687477111816,4.050036907196045,-12.362617492675781,0.9604038596153259,-19.54287338256836,4.416064262390137,-17.36860466003418,-7.2297749519348145,-7.363974571228027,-9.270820617675781,-4.720648288726807,-12.204602241516113,-3.113455057144165,-11.628345489501953,-10.467780113220215,-1.7813414335250854,-12.516923904418945,-0.7391911745071411,-0.2517178952693939,-1.1718449592590332,1.4227172136306763,1.1365326642990112,-0.7296345233917236,7.143398284912109,1.5333826541900635,4.561903476715088,0.4441149830818176,0.7471230626106262,1.2044881582260132,-0.018749281764030457,-0.9957513809204102,-2.5398247241973877,-3.4912123680114746,0.5039206743240356,-2.336228132247925,-0.3662146329879761,-2.2909059524536133,-0.7611138224601746,0
-366.5174255371094,31.38178062438965,-12.126627922058105,8.060137748718262,-19.830123901367188,-3.601909637451172,-13.817985534667969,-6.558745861053467,-12.204076766967773,-9.768966674804688,-8.853313446044922,-7.591646194458008,-6.9029717445373535,-13.24947738647461,-4.242027282714844,-12.157608985900879,-10.700153350830078,-2.1705915927886963,-9.964251518249512,-4.125524044036865,-4.19072151184082,-1.8758845329284668,2.0235326290130615,4.928666591644287,5.228745460510254,7.731119155883789,1.4951810836791992,3.3230209350585938,-1.1182746887207031,0.6343979835510254,0.6553614139556885,-0.31214362382888794,-0.4106144905090332,-0.7688630223274231,-2.3417108058929443,-1.2099443674087524,-1.5010731220245361,-0.6580520868301392,-2.7588765621185303,-1.4903830289840698,0
